# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACBP1	PF3D7_1329700	PF3D7_1329700.1	protein_coding	0	9	13	89	42	0	0	13	0	0	0	0	0	0	0	0	0	9	47
ACBP2	PF3D7_1001200	PF3D7_1001200.1	protein_coding	0	0	1	245	199	0	0	1	0	0	0	0	0	0	0	0	0	0	46
ACC	PF3D7_1469600	PF3D7_1469600.1	protein_coding	1	55	121	120	54	0	8	121	0	0	0	0	1	0	1	0	0	54	59
ACP	PF3D7_0208500	PF3D7_0208500.1	protein_coding	0	2	2	116	59	0	0	2	0	0	0	0	0	0	0	0	0	2	57
ACPS	PF3D7_0420200	PF3D7_0420200.1	protein_coding	0	7	12	140	61	0	0	12	0	0	0	0	0	0	0	0	0	7	79
ACS	PF3D7_0627800	PF3D7_0627800.1	protein_coding	0	56	32	139	96	0	0	32	0	0	0	0	0	0	0	0	0	56	43
ACS10	PF3D7_0525100	PF3D7_0525100.1	protein_coding	0	1	22	116	56	0	0	22	0	0	0	0	0	0	0	0	0	1	60
ACS11	PF3D7_1238800	PF3D7_1238800.1	protein_coding	0	25	11	110	65	0	0	11	0	0	0	0	0	0	0	0	0	25	45
ACS12	PF3D7_0619500	PF3D7_0619500.1	protein_coding	0	15	22	259	174	0	0	22	0	0	0	0	0	0	0	0	0	15	85
ACS1a	PF3D7_1479000	PF3D7_1479000.1	protein_coding	0	6	31	162	101	0	0	31	0	0	0	0	0	0	0	0	0	6	61
ACS2	PF3D7_0301000	PF3D7_0301000.1	protein_coding	1	10	21	471	409	0	0	21	0	0	0	0	0	0	1	0	0	10	62
ACS3	PF3D7_1253400	PF3D7_1253400.1	protein_coding	0	3	3	101	53	0	0	3	0	0	0	0	0	0	0	0	0	3	48
ACS4	PF3D7_1372400	PF3D7_1372400.1	protein_coding	0	8	14	487	433	0	0	14	0	0	0	0	0	0	0	0	0	8	54
ACS5	PF3D7_0731600	PF3D7_0731600.1	protein_coding	0	3	11	54	35	0	0	11	0	0	0	0	0	0	0	0	0	3	19
ACS6	PF3D7_0401900	PF3D7_0401900.1	protein_coding	0	10	40	149	81	0	0	40	0	0	0	0	0	0	0	0	0	10	68
ACS7	PF3D7_1200700	PF3D7_1200700.1	protein_coding	0	5	27	460	434	0	0	27	0	0	0	0	0	0	0	0	0	5	26
ACS8	PF3D7_0215300	PF3D7_0215300.1	protein_coding	0	5	32	102	39	0	0	32	0	0	0	0	0	0	0	0	0	5	63
ACS9	PF3D7_0215000	PF3D7_0215000.1	protein_coding	0	4	27	108	76	0	0	27	0	0	0	0	0	0	0	0	0	4	32
ACT1	PF3D7_1246200	PF3D7_1246200.1	protein_coding	0	81	3	122	67	0	0	3	0	0	0	0	0	0	0	0	0	81	55
ACT2	PF3D7_1412500	PF3D7_1412500.1	protein_coding	0	40	1	168	83	0	4	1	0	0	0	0	1	0	0	0	0	40	81
ACalpha	PF3D7_1404600	PF3D7_1404600.1	protein_coding	0	10	5	188	47	0	62	5	0	0	0	0	3	0	0	0	0	7	82
ACalpha	PF3D7_1404600	PF3D7_1404600.2	protein_coding	0	8	3	171	47	0	47	3	0	0	0	0	1	0	0	0	0	7	78
ACalpha	PF3D7_1404600	PF3D7_1404600.3	protein_coding	0	9	5	178	47	0	54	5	0	0	0	0	2	0	0	0	0	7	79
ACbeta	PF3D7_0802600	PF3D7_0802600.1	protein_coding	1	42	69	126	57	0	19	69	0	0	0	0	0	0	1	0	0	42	50
ADA	PF3D7_1029600	PF3D7_1029600.1	protein_coding	0	6	5	111	58	0	0	5	0	0	0	0	0	0	0	0	0	6	53
ADA2	PF3D7_1014600	PF3D7_1014600.1	protein_coding	0	93	51	73	40	0	0	51	0	0	0	0	0	0	0	0	0	93	33
ADCL	PF3D7_1458400	PF3D7_1458400.1	protein_coding	0	0	12	119	53	0	0	12	0	0	0	0	0	0	0	0	0	0	66
ADF1	PF3D7_0503400	PF3D7_0503400.1	protein_coding	0	1	0	152	63	0	13	0	0	0	0	0	0	0	0	0	0	1	76
ADF2	PF3D7_1361400	PF3D7_1361400.1	protein_coding	0	3	0	146	65	0	5	0	0	0	0	0	1	0	0	0	0	2	77
ADSS	PF3D7_1354500	PF3D7_1354500.1	protein_coding	0	14	8	133	79	0	4	8	0	0	0	0	0	0	0	0	0	14	50
ADT	PF3D7_1037300	PF3D7_1037300.1	protein_coding	0	19	5	115	60	0	0	5	0	0	0	0	0	0	0	0	0	19	55
AHA1	PF3D7_0306200	PF3D7_0306200.1	protein_coding	0	1	3	123	70	0	5	3	0	0	0	0	0	0	0	0	0	1	48
AK1	PF3D7_1008900	PF3D7_1008900.1	protein_coding	0	26	10	112	53	0	7	10	0	0	0	0	0	0	0	0	0	26	52
AK2	PF3D7_0816900	PF3D7_0816900.1	protein_coding	0	2	6	106	45	0	0	6	0	0	0	0	0	0	0	0	0	2	61
AKLP1	PF3D7_0110900	PF3D7_0110900.1	protein_coding	0	5	4	175	77	0	0	4	0	0	0	0	0	0	0	0	0	5	98
AKLP2	PF3D7_0931900	PF3D7_0931900.1	protein_coding	1	1	5	132	64	0	8	5	0	0	0	1	1	0	0	0	0	0	62
ALAS	PF3D7_1246100	PF3D7_1246100.1	protein_coding	0	7	6	205	140	0	2	6	0	0	0	0	0	0	0	0	0	7	63
ALBA1	PF3D7_0814200	PF3D7_0814200.1	protein_coding	0	26	2	113	59	0	0	2	0	0	0	0	0	0	0	0	0	26	54
ALBA2	PF3D7_1346300	PF3D7_1346300.1	protein_coding	0	2	1	125	54	0	8	1	0	0	0	0	1	0	0	0	0	1	64
ALBA3	PF3D7_1006200	PF3D7_1006200.1	protein_coding	0	0	0	136	52	0	14	0	0	0	0	0	0	0	0	0	0	0	70
ALBA4	PF3D7_1347500	PF3D7_1347500.1	protein_coding	1	4	4	104	53	0	4	4	0	0	0	0	1	0	0	1	0	4	47
ALG7	PF3D7_0321200	PF3D7_0321200.1	protein_coding	0	8	4	193	71	0	34	4	0	0	0	0	2	0	0	0	0	6	90
ALP1	PF3D7_1110700	PF3D7_1110700.1	protein_coding	0	2	3	112	51	0	9	3	0	0	0	0	0	0	0	0	0	2	52
ALP2a	PF3D7_1103600	PF3D7_1103600.1	protein_coding	0	17	11	134	73	0	0	11	0	0	0	0	0	0	0	0	0	17	61
ALP2b	PF3D7_0505200	PF3D7_0505200.1	protein_coding	0	7	4	121	68	0	0	4	0	0	0	0	0	0	0	0	0	7	53
ALP3	PF3D7_0728200	PF3D7_0728200.1	protein_coding	0	4	4	171	122	0	1	4	0	0	0	0	0	0	0	0	0	4	48
ALP5a	PF3D7_0910700	PF3D7_0910700.1	protein_coding	0	6	6	208	151	0	0	6	0	0	0	0	0	0	0	0	0	6	57
ALP5b	PF3D7_0409900	PF3D7_0409900.1	protein_coding	0	2	3	178	86	0	7	3	0	0	0	0	0	0	0	0	0	2	85
ALV7	PF3D7_0621400	PF3D7_0621400.1	protein_coding	0	23	13	107	67	0	0	13	0	0	0	0	0	0	0	0	0	23	40
AMA1	PF3D7_1133400	PF3D7_1133400.1	protein_coding	0	3	90	87	36	0	0	90	0	0	0	0	0	0	0	0	0	3	51
AOP	PF3D7_0729200	PF3D7_0729200.1	protein_coding	0	7	4	157	97	0	4	4	0	0	0	0	0	0	0	0	0	7	56
AOS1	PF3D7_1144500	PF3D7_1144500.1	protein_coding	0	2	0	135	59	0	0	0	0	0	0	0	0	0	0	0	0	2	76
AP1M1	PF3D7_1311400	PF3D7_1311400.1	protein_coding	0	26	1	178	105	0	0	1	0	0	0	0	0	0	0	0	0	26	73
AP2-G	PF3D7_1222600	PF3D7_1222600.1	protein_coding	0	21	50	109	54	0	0	50	0	0	0	0	0	0	0	0	0	21	55
AP2-G2	PF3D7_1408200	PF3D7_1408200.1	protein_coding	0	19	53	116	52	0	0	53	0	0	0	0	0	0	0	0	0	19	64
AP2-L	PF3D7_0730300	PF3D7_0730300.1	protein_coding	0	32	32	107	53	0	0	32	0	0	0	0	0	0	0	0	0	32	54
AP2-MU	PF3D7_1218300	PF3D7_1218300.1	protein_coding	0	38	17	133	78	0	0	17	0	0	0	0	1	0	0	0	1	37	55
AP2-O	PF3D7_1143100	PF3D7_1143100.1	protein_coding	0	18	65	107	47	0	0	65	0	0	0	0	0	0	0	0	0	18	60
APN1	PF3D7_1332600	PF3D7_1332600.1	protein_coding	0	6	9	100	52	0	0	9	0	0	0	0	0	0	0	0	0	6	48
APP	PF3D7_1454400	PF3D7_1454400.1	protein_coding	0	23	23	143	95	1	0	23	0	0	0	0	0	0	0	0	0	22	48
AQP	PF3D7_1132800	PF3D7_1132800.1	protein_coding	0	9	9	122	52	0	0	9	0	0	0	0	0	0	0	0	0	9	70
AQP2	PF3D7_0810400	PF3D7_0810400.1	protein_coding	0	11	11	105	47	0	0	11	0	0	0	0	0	0	0	0	0	11	58
ARA1	PF3D7_1312450	PF3D7_1312450.1	protein_coding	0	1	8	137	77	0	0	8	0	0	0	0	0	0	0	0	0	1	60
ARC40	PF3D7_1118800	PF3D7_1118800.1	protein_coding	0	1	3	132	56	0	10	3	0	0	0	0	0	0	0	0	0	1	66
ARF-GAP	PF3D7_0526200	PF3D7_0526200.1	protein_coding	2	4	9	129	48	0	12	9	0	0	0	2	3	0	0	0	0	3	72
ARF-GAP	PF3D7_0526200	PF3D7_0526200.2	protein_coding	2	4	9	129	48	0	12	9	0	0	0	2	3	0	0	0	0	3	72
ARF1	PF3D7_1020900	PF3D7_1020900.1	protein_coding	0	1	0	96	47	0	7	0	0	0	0	0	1	0	0	0	0	0	43
ARFGAP	PF3D7_1244600	PF3D7_1244600.1	protein_coding	0	27	5	115	53	0	0	5	0	0	0	0	0	0	0	0	0	27	62
ARK1	PF3D7_0605300	PF3D7_0605300.1	protein_coding	0	35	3	201	109	0	7	3	0	0	0	0	2	0	0	0	0	35	85
ARK2	PF3D7_0309200	PF3D7_0309200.1	protein_coding	0	19	55	150	65	0	10	55	0	0	0	0	1	0	0	0	0	18	76
ARK3	PF3D7_1356800	PF3D7_1356800.1	protein_coding	1	73	120	155	91	0	0	120	0	0	0	0	0	0	1	0	0	73	64
ARNP	PF3D7_0511600	PF3D7_0511600.1	protein_coding	0	0	2	94	50	0	0	2	0	0	0	0	0	0	0	0	0	0	44
ARO	PF3D7_0414900	PF3D7_0414900.1	protein_coding	0	4	1	168	86	0	22	1	0	0	0	0	1	0	0	0	0	3	61
ARP	PF3D7_0909300	PF3D7_0909300.1	protein_coding	0	2	1	174	54	0	20	1	0	0	0	0	1	0	0	0	1	1	100
ARP1	PF3D7_0103800	PF3D7_0103800.1	protein_coding	0	8	0	170	84	0	15	0	0	0	0	0	2	0	0	0	0	6	73
ARP4a	PF3D7_1422800	PF3D7_1422800.1	protein_coding	0	10	8	135	75	0	0	8	0	0	0	0	0	0	0	0	0	10	60
ARP6	PF3D7_0719300	PF3D7_0719300.1	protein_coding	0	3	7	112	69	0	0	7	0	0	0	0	0	0	0	0	0	3	43
ARPS10	PF3D7_1460900	PF3D7_1460900.1	protein_coding	0	2	2	115	55	0	15	2	0	0	0	0	0	0	0	0	0	2	45
ARPS10	PF3D7_1460900	PF3D7_1460900.2	protein_coding	0	2	2	115	55	0	15	2	0	0	0	0	0	0	0	0	0	2	45
ASF1	PF3D7_1119800	PF3D7_1119800.1	protein_coding	0	1	1	111	65	0	0	1	0	0	0	0	0	0	0	0	0	1	46
ASF1	PF3D7_1224500	PF3D7_1224500.1	protein_coding	0	0	1	68	33	0	0	1	0	0	0	0	0	0	0	0	0	0	35
ASL	PF3D7_0206700	PF3D7_0206700.1	protein_coding	0	23	16	185	114	0	0	16	0	0	0	0	0	0	0	0	0	23	71
ASP	PF3D7_0405900	PF3D7_0405900.1	protein_coding	0	6	14	169	60	0	5	14	0	0	0	0	0	0	0	0	0	6	104
ATCase	PF3D7_1344800	PF3D7_1344800.1	protein_coding	0	2	6	126	43	0	3	6	0	0	0	0	0	0	0	0	0	2	80
ATG11	PF3D7_0216700	PF3D7_0216700.1	protein_coding	0	14	25	182	79	0	16	25	0	0	0	0	1	0	0	0	0	14	87
ATG11	PF3D7_0216700	PF3D7_0216700.2	protein_coding	0	14	25	182	79	0	16	25	0	0	0	0	1	0	0	0	0	14	87
ATG12	PF3D7_1470000	PF3D7_1470000.1	protein_coding	0	0	3	127	66	0	14	3	0	0	0	0	1	0	0	0	0	0	47
ATG18	PF3D7_1012900	PF3D7_1012900.1	protein_coding	0	29	5	115	69	0	1	5	0	0	0	0	0	0	0	0	0	29	45
ATG23	PF3D7_1126700	PF3D7_1126700.1	protein_coding	0	11	10	189	66	0	63	10	0	0	0	0	3	0	0	0	0	8	63
ATG3	PF3D7_0905700	PF3D7_0905700.1	protein_coding	1	5	4	180	75	0	36	4	0	0	0	1	3	0	0	0	0	4	71
ATG3	PF3D7_0905700	PF3D7_0905700.2	protein_coding	0	4	3	183	75	0	37	3	0	0	0	0	1	0	0	0	0	4	71
ATG3	PF3D7_0905700	PF3D7_0905700.3	protein_coding	0	2	2	176	84	0	21	2	0	0	0	0	1	0	0	0	0	2	71
ATG4	PF3D7_1417300	PF3D7_1417300.1	protein_coding	0	5	25	90	51	0	5	25	0	0	0	0	0	0	0	0	0	5	34
ATG5	PF3D7_1430400	PF3D7_1430400.1	protein_coding	0	8	20	185	83	0	0	20	0	0	0	0	0	0	0	0	0	8	102
ATG7	PF3D7_1126100	PF3D7_1126100.1	protein_coding	0	11	31	155	94	0	4	31	0	0	0	0	0	0	0	0	0	11	57
ATG8	PF3D7_1019900	PF3D7_1019900.1	protein_coding	0	1	1	112	59	0	0	1	0	0	0	0	0	0	0	0	0	1	53
ATP11	PF3D7_1209800	PF3D7_1209800.1	protein_coding	0	0	0	105	65	0	0	0	0	0	0	0	0	0	0	0	0	0	40
ATP4	PF3D7_1211900	PF3D7_1211900.1	protein_coding	1	83	45	110	60	0	0	45	0	0	0	0	0	0	1	0	0	83	50
ATP6	PF3D7_0106300	PF3D7_0106300.1	protein_coding	0	32	19	156	86	0	14	19	0	0	0	0	2	0	0	0	0	30	58
ATPase1	PF3D7_0516100	PF3D7_0516100.1	protein_coding	0	14	68	150	86	0	1	68	0	0	0	0	0	0	0	0	0	14	63
ATPase2	PF3D7_1219600	PF3D7_1219600.1	protein_coding	0	47	15	220	157	0	14	15	0	0	0	0	2	0	0	0	0	45	51
ATPase3	PF3D7_0504000	PF3D7_0504000.1	protein_coding	0	43	55	118	63	0	6	55	0	0	0	0	0	0	0	0	0	43	49
ATPase7	PF3D7_0319000	PF3D7_0319000.1	protein_coding	0	69	28	115	64	0	0	28	0	0	0	0	0	0	0	0	0	69	51
ATX3	PF3D7_1226800	PF3D7_1226800.1	protein_coding	0	14	10	137	53	0	22	10	0	0	0	0	0	0	0	0	0	14	62
AdoMetDC/ODC	PF3D7_1033100	PF3D7_1033100.1	protein_coding	0	18	65	166	72	0	0	65	0	0	0	0	0	0	0	0	0	18	94
AlaRS	PF3D7_1367700	PF3D7_1367700.1	protein_coding	0	28	31	138	86	0	0	31	0	0	0	0	0	0	0	0	0	28	52
ApiAP2	PF3D7_0404100	PF3D7_0404100.1	protein_coding	0	14	72	141	51	0	9	72	0	0	0	0	0	0	0	0	0	14	81
ApiAP2	PF3D7_0420300	PF3D7_0420300.1	protein_coding	0	46	78	142	93	0	0	78	0	0	0	0	0	0	0	0	0	46	49
ApiAP2	PF3D7_0516800	PF3D7_0516800.1	protein_coding	0	31	41	181	127	0	0	41	0	0	0	0	0	0	0	0	0	31	54
ApiAP2	PF3D7_0611200	PF3D7_0611200.1	protein_coding	0	5	6	106	78	0	1	6	0	0	0	0	0	0	0	0	0	5	27
ApiAP2	PF3D7_0613800	PF3D7_0613800.1	protein_coding	0	66	136	153	79	0	9	136	0	0	0	0	0	0	0	0	0	66	65
ApiAP2	PF3D7_0622900	PF3D7_0622900.1	protein_coding	0	14	27	201	131	0	0	27	0	0	0	0	0	0	0	0	0	14	70
ApiAP2	PF3D7_0802100	PF3D7_0802100.1	protein_coding	0	21	39	107	63	0	2	39	0	0	0	0	0	0	0	0	0	21	42
ApiAP2	PF3D7_0934400	PF3D7_0934400.1	protein_coding	0	9	2	131	59	0	0	2	0	0	0	0	0	0	0	0	0	9	72
ApiAP2	PF3D7_1007700	PF3D7_1007700.1	protein_coding	0	33	22	109	44	0	0	22	0	0	0	0	0	0	0	0	0	33	65
ApiAP2	PF3D7_1107800	PF3D7_1107800.1	protein_coding	0	14	28	160	85	0	8	28	0	0	0	0	0	0	0	0	0	14	67
ApiAP2	PF3D7_1115500	PF3D7_1115500.1	protein_coding	0	1	2	187	98	0	13	2	0	0	0	0	0	0	0	0	0	1	76
ApiAP2	PF3D7_1139300	PF3D7_1139300.1	protein_coding	0	27	47	120	63	0	5	47	0	0	0	0	0	0	0	0	0	27	52
ApiAP2	PF3D7_1222400	PF3D7_1222400.1	protein_coding	1	17	65	127	55	0	0	65	0	0	0	0	0	0	1	0	0	17	72
ApiAP2	PF3D7_1239200	PF3D7_1239200.1	protein_coding	0	35	44	127	82	0	0	44	0	0	0	0	0	0	0	0	0	35	45
ApiAP2	PF3D7_1305200	PF3D7_1305200.1	protein_coding	0	4	2	140	69	0	0	2	0	0	0	0	0	0	0	0	0	4	71
ApiAP2	PF3D7_1317200	PF3D7_1317200.1	protein_coding	0	19	65	110	46	0	0	65	0	0	0	0	0	0	0	0	0	19	64
ApiAP2	PF3D7_1342900	PF3D7_1342900.1	protein_coding	0	34	111	234	165	0	0	111	0	0	0	0	0	0	0	0	0	34	69
ApiAP2	PF3D7_1350900	PF3D7_1350900.1	protein_coding	0	5	6	152	75	0	0	6	0	0	0	0	0	0	0	0	0	5	77
ApiAP2	PF3D7_1429200	PF3D7_1429200.1	protein_coding	0	10	27	148	102	0	0	27	0	0	0	0	0	0	0	0	0	10	46
ApiAP2	PF3D7_1449500	PF3D7_1449500.1	protein_coding	0	9	18	129	77	0	3	18	0	0	0	0	0	0	0	0	0	9	49
ApiAP2	PF3D7_1456000	PF3D7_1456000.1	protein_coding	0	9	28	87	31	0	3	28	0	0	0	0	0	0	0	0	0	9	53
ApiAP2	PF3D7_1466400	PF3D7_1466400.1	protein_coding	0	17	5	99	54	0	0	5	0	0	0	0	0	0	0	0	0	17	45
AsnRS	PF3D7_0211800	PF3D7_0211800.1	protein_coding	0	35	8	133	57	0	0	8	0	0	0	0	0	0	0	0	0	35	76
AsnRS	PF3D7_0509600	PF3D7_0509600.1	protein_coding	2	11	8	133	76	0	4	8	0	0	2	0	1	0	0	0	0	10	56
AspAT	PF3D7_0204500	PF3D7_0204500.1	protein_coding	0	5	6	137	61	0	0	6	0	0	0	0	0	0	0	0	0	5	76
B9	PF3D7_0317100	PF3D7_0317100.1	protein_coding	0	11	15	136	78	0	4	15	0	0	0	0	0	0	0	0	0	11	54
BCKDH-E2	PF3D7_0303700	PF3D7_0303700.1	protein_coding	0	3	13	134	75	0	0	13	0	0	0	0	0	0	0	0	0	3	59
BCKDHA	PF3D7_1312600	PF3D7_1312600.1	protein_coding	0	42	22	102	36	0	0	22	0	0	0	0	0	0	0	0	0	42	66
BCKDHB	PF3D7_0504600	PF3D7_0504600.1	protein_coding	0	32	7	203	65	0	0	7	0	0	0	0	0	0	0	0	0	32	138
BDP1	PF3D7_1033700	PF3D7_1033700.1	protein_coding	0	27	8	110	54	0	6	8	0	0	0	0	1	0	0	0	0	26	51
BDP2	PF3D7_1212900	PF3D7_1212900.1	protein_coding	0	32	20	148	65	0	0	20	0	0	0	0	0	0	0	0	0	32	83
BET1	PF3D7_1452500	PF3D7_1452500.1	protein_coding	0	4	3	127	49	0	20	3	0	0	0	0	2	0	0	0	0	3	59
BET3	PF3D7_0418500	PF3D7_0418500.1	protein_coding	0	5	1	134	56	0	24	1	0	0	0	0	2	0	0	0	0	3	56
BET5	PF3D7_1405200	PF3D7_1405200.1	protein_coding	0	1	3	138	68	0	6	3	0	0	0	0	0	0	0	0	0	1	64
BOP1	PF3D7_1405800	PF3D7_1405800.1	protein_coding	0	11	14	123	51	0	7	14	0	0	0	0	0	0	0	0	0	11	65
BRR2	PF3D7_0422500	PF3D7_0422500.1	protein_coding	1	85	43	213	125	0	0	43	0	0	0	0	0	0	1	0	0	85	88
BUD13	PF3D7_1246600	PF3D7_1246600.1	protein_coding	0	6	11	138	66	0	0	11	0	0	0	0	0	0	0	0	0	6	72
BUD31	PF3D7_0522800	PF3D7_0522800.1	protein_coding	0	1	0	109	78	0	1	0	0	0	0	0	0	0	0	0	0	1	30
BUD32	PF3D7_0708300	PF3D7_0708300.1	protein_coding	2	1	2	185	129	0	12	2	0	0	2	0	0	0	0	0	0	1	46
CA	PF3D7_1140000	PF3D7_1140000.1	protein_coding	0	4	13	115	68	0	2	13	0	0	0	0	0	0	0	0	0	4	45
CAF1	PF3D7_0501800	PF3D7_0501800.1	protein_coding	0	26	32	95	47	0	0	32	0	0	0	0	0	0	0	0	0	26	48
CAF1	PF3D7_0811300	PF3D7_0811300.1	protein_coding	0	15	7	93	53	0	0	7	0	0	0	0	0	0	0	0	0	15	40
CAF16	PF3D7_1434000	PF3D7_1434000.1	protein_coding	0	3	5	133	55	0	11	5	0	0	0	0	0	0	0	0	0	3	67
CAF40	PF3D7_0507600	PF3D7_0507600.1	protein_coding	0	16	6	175	98	0	0	6	0	0	0	0	0	0	0	0	0	16	77
CAM	PF3D7_1434200	PF3D7_1434200.1	protein_coding	0	22	0	132	60	0	10	0	0	0	0	0	0	0	0	0	0	22	62
CAP	PF3D7_0105300	PF3D7_0105300.1	protein_coding	0	2	0	110	61	0	4	0	0	0	0	0	0	0	0	0	0	2	45
CARL	PF3D7_0321900	PF3D7_0321900.1	protein_coding	0	29	19	163	75	0	29	19	0	0	0	0	1	0	0	0	0	28	60
CARM1	PF3D7_0811500	PF3D7_0811500.1	protein_coding	0	3	10	61	20	0	0	10	0	0	0	0	0	0	0	0	0	3	41
CAX	PF3D7_0603500	PF3D7_0603500.1	protein_coding	0	53	13	125	70	0	0	13	0	0	0	0	0	0	0	0	0	53	55
CBF5	PF3D7_1417500	PF3D7_1417500.1	protein_coding	0	35	10	101	49	0	0	10	0	0	0	0	0	0	0	0	0	35	52
CBWD1	PF3D7_1405500	PF3D7_1405500.1	protein_coding	0	5	5	115	55	0	0	5	0	0	0	0	0	0	0	0	0	5	60
CCR4	PF3D7_0519500	PF3D7_0519500.1	protein_coding	1	48	54	122	89	0	2	54	0	0	0	0	0	0	1	0	0	48	31
CCT	PF3D7_1316600	PF3D7_1316600.1	protein_coding	0	29	9	115	58	0	4	9	0	0	0	0	0	0	0	0	0	29	53
CCT2	PF3D7_0306800	PF3D7_0306800.1	protein_coding	0	80	13	163	104	0	4	13	0	0	0	0	0	0	0	0	0	80	55
CCT3	PF3D7_1229500	PF3D7_1229500.1	protein_coding	0	41	14	142	76	0	1	14	0	0	0	0	0	0	0	0	0	41	65
CCT4	PF3D7_1357800	PF3D7_1357800.1	protein_coding	0	16	3	150	77	0	8	3	0	0	0	0	0	0	0	0	0	16	65
CCT5	PF3D7_0320300	PF3D7_0320300.1	protein_coding	0	52	4	126	53	0	0	4	0	0	0	0	0	0	0	0	0	52	73
CCT6	PF3D7_0608700	PF3D7_0608700.1	protein_coding	0	41	12	126	59	0	2	12	0	0	0	0	2	0	0	0	0	40	66
CCT7	PF3D7_0308200	PF3D7_0308200.1	protein_coding	0	21	3	175	75	0	4	3	0	0	0	0	0	0	0	0	0	21	96
CCT8	PF3D7_0214000	PF3D7_0214000.1	protein_coding	0	3	1	122	49	0	0	1	0	0	0	0	0	0	0	0	0	3	73
CCp1	PF3D7_1475500	PF3D7_1475500.1	protein_coding	1	17	24	83	25	0	0	24	0	0	0	0	0	0	1	0	0	17	58
